clip_id,audio_path,language,is_native,accent_region,age,gender,sentence,speaker_id,duration_sec,sample_rate,augmented,aug_type,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,spectral_rolloff,silence_ratio,energy_band_1,energy_band_2,energy_band_3,energy_band_4,energy_band_5,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,delta_mfcc_1_mean,delta_mfcc_2_mean,delta_mfcc_3_mean,delta_mfcc_4_mean,delta_mfcc_5_mean,delta_mfcc_6_mean,delta_mfcc_7_mean,delta_mfcc_8_mean,delta_mfcc_9_mean,delta_mfcc_10_mean,delta_mfcc_11_mean,delta_mfcc_12_mean,delta_mfcc_13_mean,chroma_mean,chroma_std,mel_mean,mel_std,f0_mean,f0_std,voiced_fraction,spectral_contrast_mean,tempo
fr_000025,accent_dataset_output/audio_original/fr_000025.wav,fr,0,africain,unknown,unknown,lorsqu'il fut venu au lieu ou étaient ses autres disciples il vit une grande multitude de personnes ,10065,10.0,16000,False,original,0.101924,0.134888,601.08,1185.8,451.9,0.4123,0.618289,0.275315,0.021788,0.022531,0.062078,-281.4734,151.2473,81.4668,64.1021,3.3381,32.7477,55.838,33.863,-0.5431,19.5482,16.6619,15.5313,-9.5865,17.026,-1.9987,16.1924,-1.09,13.4321,-9.3717,13.0934,-4.0334,11.8974,-0.4736,7.3564,-8.0409,12.1661,1.2791,-0.3113,0.0764,0.0099,0.0772,0.0442,-0.1673,0.0634,-0.0458,0.0138,-0.0436,-0.003,0.0195,0.4151,0.3205,-46.8562,19.6693,118.84,20.13,0.6038,17.7238,75.0
pl_000056,accent_dataset_output/audio_original/pl_000056.wav,pl,1,unknown,unknown,unknown,nie dosyć na tem że gardłem skarani myszego wojska wszystkie niewolniki nie dość że będąc z ojczyzny,6892,10.0,16000,False,original,0.179771,0.131326,356.06,516.65,504.1,0.293,0.679007,0.280229,0.022442,0.012675,0.005647,-205.47,133.0666,89.3892,63.1582,16.8302,34.4469,54.8639,37.3014,3.4486,20.0144,-11.064,16.7182,-12.9686,18.3962,-8.3149,17.6279,-10.7755,12.7786,-3.2284,11.5803,-16.5892,9.9037,-1.3232,9.8601,-2.7122,8.7988,1.1255,0.4623,0.0395,0.1051,0.0436,-0.1183,0.0299,-0.1076,-0.0837,-0.0144,-0.1167,0.0137,-0.0126,0.3122,0.3129,-44.8016,19.4775,129.64,13.79,0.8115,19.058,117.19
fr_000007_aug2,accent_dataset_output/audio_augmented/fr_000007_aug2.wav,fr,1,québec,unknown,unknown,n'est-ce pas là ce charpentier ce fils de marie frère de jacques de joseph de jude et de simon et se,10065,10.0,16000,True,pitch_time_shift,0.14073,0.127013,690.97,1257.67,696.5,0.4128,0.506885,0.3756,0.033068,0.01896,0.065486,-265.4624,186.0904,64.6251,60.249,16.3687,30.3258,36.9626,28.1235,-4.6021,19.2574,11.7052,13.4498,-14.6416,19.0614,6.945,12.4783,-4.6347,14.0959,-5.4949,14.2407,-0.6311,11.4693,-5.3241,12.0637,3.6704,8.8872,0.1109,-0.2701,-0.0406,0.2039,0.0307,-0.0435,0.0533,-0.0688,-0.0224,-0.0885,-0.0954,-0.0024,0.038,0.3548,0.3235,-50.3541,21.8696,133.24,32.91,0.7636,18.7685,187.5
de_000096_aug3,accent_dataset_output/audio_augmented/de_000096_aug3.wav,de,0,turkish,unknown,unknown,mein herr herr fogg rief er fluchen sie mir ich bin schuld daß ich klage niemand an erwiderte philea,10148,10.0,16000,True,degraded_codec,0.074496,0.321324,978.76,1464.54,1519.2,0.1389,0.387698,0.355131,0.130473,0.056754,0.069944,-112.5666,26.5497,26.8142,16.1127,-6.1928,11.6287,13.8205,12.1222,-12.1995,6.2088,9.433,9.3217,-15.053,5.8151,4.3298,10.0295,-16.5895,6.6837,7.075,9.2451,-14.7463,6.2321,6.5219,7.8517,-12.2249,4.7927,0.1113,0.1747,0.0294,-0.0828,-0.0013,-0.0189,0.0232,-0.0349,-0.0199,-0.0067,0.0717,-0.0126,-0.0209,0.4895,0.3518,-32.7503,5.9596,212.02,39.22,0.6198,17.5486,110.29
de_000018_aug2,accent_dataset_output/audio_augmented/de_000018_aug2.wav,de,0,turkish,unknown,unknown,durch die fenster sah man nur noch eine ungeheure weiße fläche auf welcher die wirbelnden dampfwolke,10148,10.0,16000,True,pitch_time_shift,0.09498,0.153076,501.63,526.69,586.9,0.3829,0.373486,0.553194,0.059117,0.008889,0.005313,-286.0591,104.4482,77.4755,64.0882,2.2555,39.9106,22.6783,30.4754,-3.4555,18.8373,-1.9525,15.6894,-12.6671,15.3789,-22.1072,17.936,-1.8367,15.0166,2.8809,10.575,-8.0816,11.5206,-1.4938,10.6318,3.6055,9.2047,0.2701,0.132,-0.2214,-0.0973,-0.1074,-0.0125,0.0282,-0.0904,0.0572,-0.0296,-0.0005,0.0113,-0.0702,0.3075,0.3284,-53.5588,17.3473,199.21,34.08,0.7668,20.6814,104.17
nl_000040_aug3,accent_dataset_output/audio_augmented/nl_000040_aug3.wav,nl,1,unknown,unknown,unknown,dat is de vraag nog zeide buat en een tweede is of ik my met een boodschap als deze wil of mag belas,2450,10.0,16000,True,degraded_codec,0.02428,0.084185,487.42,301.96,520.6,0.4804,0.100233,0.842659,0.047347,0.009464,0.000297,-437.2874,108.1702,129.6185,45.2688,-11.8649,26.8479,20.8806,29.4258,9.5655,20.9061,-21.3598,18.6509,-14.0658,11.8791,-9.9546,9.7657,-14.0011,9.734,-10.4417,9.8348,-6.7381,7.7064,-5.546,7.2912,-0.8226,7.7336,1.0071,0.6119,-0.1414,0.0733,0.0593,-0.1205,-0.0654,0.0192,-0.0327,-0.0669,-0.0208,-0.0307,0.0119,0.3725,0.3131,-55.8378,18.8983,133.93,31.28,0.5783,21.4991,170.45
fr_000041_aug3,accent_dataset_output/audio_augmented/fr_000041_aug3.wav,fr,0,maghrebin,unknown,unknown,j'ai compassion de ce peuple parce qu'il y a déjà trois jours qu'ils demeurent continuellement avec ,10065,10.0,16000,True,degraded_codec,0.08965,0.053985,284.59,259.25,448.3,0.3888,0.655881,0.309371,0.03219,0.002531,2.7e-05,-328.2525,104.0242,168.287,53.6108,-19.3885,31.0239,35.0689,34.5246,16.5001,20.3122,-1.5902,14.5941,-0.8891,11.9565,-3.2676,14.2531,3.0372,9.7397,-8.8316,12.0028,-2.217,10.9964,-0.1013,8.8506,-5.865,9.2083,0.6291,0.4168,-0.0843,0.0178,0.0345,-0.093,-0.0198,0.0431,0.0058,0.0229,-0.0082,-0.0872,-0.0595,0.4139,0.3256,-50.066,22.0214,111.23,21.74,0.8307,23.9882,133.93
es_000087,accent_dataset_output/audio_original/es_000087.wav,es,1,andalou,unknown,unknown,de repente comenzó á notarse cierto bullicio entre el juncal de la ciénaga un pato silvestre se leva,8882,10.0,16000,False,original,0.213116,0.093419,195.18,438.27,201.5,0.3012,0.913021,0.06766,0.013506,0.001998,0.003814,-243.8522,108.2382,125.4966,60.223,28.0877,31.8856,17.7726,26.5027,30.2558,25.3659,-14.5113,17.9501,10.0531,13.8603,16.38,13.1367,1.0746,12.6854,2.3568,10.9894,-15.0161,10.2936,-7.0903,7.9574,-2.0154,8.0915,0.0004,0.05,0.0798,0.0376,0.0076,0.0326,0.0246,0.003,-0.003,0.0009,-0.001,-0.0106,-0.0274,0.3872,0.3354,-53.3025,19.6697,109.18,22.69,0.9042,19.7385,104.17
it_000065,accent_dataset_output/audio_original/it_000065.wav,it,0,albanais,unknown,unknown,veduto adunque chiaramente che al prete a certo segno ed a certa ora era aperto l'uscio ed egli entr,6001,10.0,16000,False,original,0.125613,0.053444,441.3,347.52,739.9,0.4344,0.403434,0.509453,0.076446,0.010538,0.000129,-299.6907,118.5378,121.9059,61.3921,5.5303,40.4251,28.0503,30.8359,-1.2462,19.4507,-8.8923,22.2372,2.8209,12.2248,-2.6322,15.0213,-1.9985,12.6808,-0.8064,9.6358,-5.9977,10.4605,-3.6926,9.8113,-1.416,7.051,-0.0195,-0.0257,-0.0206,-0.0132,-0.0048,0.0034,0.0106,0.0158,0.0183,0.0176,0.0137,0.0076,0.0004,0.3497,0.3453,-56.3694,20.3387,205.37,59.38,0.8051,18.2849,170.45
pt_000113,accent_dataset_output/audio_original/pt_000113.wav,pt,0,mozambicain,unknown,unknown,e nem pratica a maravilhosa justiça que vae chegar amanhã para dar a todos o que é de todos nada cor,12249,10.0,16000,False,original,0.138907,0.172607,929.45,864.74,1550.2,0.3963,0.12666,0.497574,0.263943,0.101255,0.010568,-241.1653,144.8799,51.819,58.3008,-21.0393,47.2836,24.0565,36.1543,-24.0845,26.4595,-6.7761,19.0171,-10.2794,14.7568,-8.586,14.8355,-7.4582,16.1974,-4.9367,11.4715,-4.3087,12.8516,-12.5099,15.3883,-0.2481,10.3568,0.7583,0.3636,-0.0037,-0.3279,0.0755,-0.0688,-0.0612,-0.1736,-0.0084,-0.0861,-0.074,-0.0504,-0.0242,0.3338,0.32,-48.7118,19.3587,253.83,105.95,0.8435,19.415,110.29
